mae,rmse,r2,smape,model,split
0.4352522437349358,0.6451221647818407,0.9481808183364546,6.419810030008918,ridge,test
0.4352657452744978,0.6451274774201183,0.9481799648618211,6.420137194712687,linear_regression,test
0.4402282340106072,0.6570193285205715,0.9462519248778998,6.459597227725092,extra_trees,test
0.4432887280621504,0.6524283738653476,0.9470004351843505,6.52286857715355,hist_gradient_boosting,test
0.4445081409066501,0.6520107005815424,0.9470682722603012,6.557498897414732,random_forest,test
0.6502655383631164,0.9466288575796892,0.8884252036946239,9.054132789470838,last_value_baseline,test
7.228054143251802,7.759089972733315,-6.495976203463516,60.592618682548824,mean_baseline,test
0.4308386053083657,0.5919066862688955,0.928809811952648,21.513266259672108,ridge,valid
0.4308540966726502,0.5919223880925072,0.9288060349025555,21.51381290104098,linear_regression,valid
0.5194605656811909,0.6807022944103919,0.9058483192296487,23.831334929319404,random_forest,valid
0.5540695786393055,0.7239173086095537,0.8935142314864554,25.861558941416973,extra_trees,valid
0.5754729460159785,0.7998194815542874,0.8700136931393923,23.012277324079488,last_value_baseline,valid
0.5760645152366936,0.8045001721379429,0.8684878338522665,29.9834792454173,hist_gradient_boosting,valid
12.493546309399054,12.68897447277446,-31.71648937560485,126.90186369821899,mean_baseline,valid
